id,name,city_id,category,description,ticket_price,opening_hours,address
nj_zongtongfu,总统府,nanjing,历史建筑,中国近代史遗址博物馆,40元,8:30-17:00,玄武区长江路292号
nj_meiyuan,梅园新村纪念馆,nanjing,纪念馆,中共代表团驻地旧址,免费,9:00-16:30,玄武区梅园新村
nj_niushoushan,牛首山文化旅游区,nanjing,宗教景区,佛顶宫藏释迦摩尼顶骨舍利,98元,9:00-17:00,江宁区
nj_dabaoens,大报恩寺,nanjing,寺庙,报恩盛典表演，艺术范儿十足,80元,9:00-17:30,秦淮区
nj_qixiasi,栖霞寺,nanjing,寺庙,秋天赏红叶胜地,25元,7:00-17:00,栖霞区
nj_pilusi,毗卢寺,nanjing,寺庙,南京香火最旺的寺庙之一,8元,7:00-17:00,玄武区
nj_muyan,慕燕滨江风光带,nanjing,自然风光,南京城绿色屏障，小众古迹,免费,全天,栖霞区
nj_gaochun,高淳,nanjing,古镇,典型江南小镇，国际慢城,免费,全天,高淳区
nj_tangshan,汤山温泉,nanjing,温泉,千年历史皇家御用温泉,128-298元,全天,江宁区汤山
sh_dongfangmingzhu,东方明珠,shanghai,现代建筑,上海地标，观赏夜景绝佳去处,120-180元,8:30-21:30,浦东新区世纪大道1号
sh_binjiangdadao,滨江大道,shanghai,城市风光,小外滩，观赏浦西夜景最佳地点,免费,全天,浦东新区沿黄浦江
sh_jinmao,金茂大厦,shanghai,现代建筑,88层观光厅，时光穿梭机电梯,120元,8:30-21:30,浦东新区世纪大道88号
sh_huanqiu,上海环球金融中心,shanghai,现代建筑,世界最高观景平台，云中漫步,120-150元,8:00-23:00,浦东新区世纪大道100号
sh_shijigongyuan,世纪公园,shanghai,公园,上海环线内最大生态型城市公园,10元,7:00-18:00,浦东新区锦绣路1001号
sh_waitan,外滩,shanghai,城市风光,万国建筑博览群，上海的故事,免费,全天,黄浦区
sh_yuyuan,豫园,shanghai,园林,老城区仅存明代园林，城市山林,30-40元,8:30-17:30,黄浦区安仁街132号
sh_nanjinglu,南京路,shanghai,商业街区,中国第一商业街，不夜城,免费,全天,黄浦区
sh_bowuguan,上海博物馆,shanghai,博物馆,中国四大博物馆之一，青铜器陶瓷器特色,免费,9:00-17:00,黄浦区人民大道201号
sh_xintiandi,新天地,shanghai,商业街区,石库门建筑改造，小资地标,免费,全天,黄浦区太仓路181弄
sh_yidahuizhi,中共一大会址,shanghai,纪念馆,中国共产党诞生地,免费,9:00-16:00,黄浦区黄陂南路374号
sh_zhougongguan,周公馆,shanghai,历史建筑,中共代表团驻沪办事处,免费,9:00-16:30,黄浦区思南路73号
sh_tianzifang,田子坊,shanghai,创意园区,上海市井文化，创意工作室聚集地,免费,全天,黄浦区泰康路
sh_hengshanlu,衡山路,shanghai,历史街区,法租界贝当路，酒吧一条街,免费,全天,徐汇区
sh_xujiahuijiaotang,徐家汇天主教堂,shanghai,宗教建筑,老上海第一建筑，哥特式红砖教堂,免费,周六日开放,徐汇区蒲西路158号
sh_jingansi,静安寺,shanghai,寺庙,上海著名古刹，千年历史,30元,7:30-17:30,静安区南京西路1686号
sh_duolunlu,多伦路,shanghai,历史街区,一条多伦路百年上海滩，文化名人故居,免费,全天,虹口区
sh_tianailu,甜爱路,shanghai,特色街道,上海最浪漫马路，爱心邮筒,免费,全天,虹口区
sh_1933,1933老场坊,shanghai,创意园区,远东最大屠宰场改造，迷宫般建筑,免费,全天,虹口区
sh_m50,M50创意园区,shanghai,创意园区,老厂房改造艺术区,免费,全天,普陀区
sh_longhuasi,龙华寺,shanghai,寺庙,上海历史最悠久的寺庙,10元,7:00-16:30,徐汇区
sh_zhiwuyuan,上海植物园,shanghai,公园,城市绿肺，四季花卉,15元,7:00-17:00,徐汇区
sh_sheshan,佘山度假区,shanghai,度假区,上海郊区度假胜地,免费,全天,松江区
sh_taimushiport,泰晤士小镇,shanghai,特色小镇,英伦风情建筑群,免费,全天,松江区
sh_zhujiajiao,朱家角,shanghai,古镇,上海四大历史文化名镇之一,免费,全天,青浦区
sh_fengjing,枫泾古镇,shanghai,古镇,中国历史文化名镇,免费,全天,金山区
sh_qibao,七宝古镇,shanghai,古镇,千年历史集镇,免费,全天,闵行区
sh_xinchang,新场古镇,shanghai,古镇,原汁原味江南水乡,免费,全天,浦东新区
sh_chongmingdao,崇明岛,shanghai,自然风光,中国第三大岛，生态旅游胜地,免费,全天,崇明区
sh_kejiguan,上海科技馆,shanghai,科普场所,亲子游首选，互动体验,60元,9:00-17:15,浦东新区世纪大道2000号
sh_yeshengdongwuyuan,上海野生动物园,shanghai,动物园,亲子游热门目的地,130元,8:00-17:00,浦东新区
bj_gugong,故宫,beijing,皇城古迹,世界五大宫殿之首，明清两代皇宫,40-60元,8:30-17:00,东城区景山前街4号
bj_tiantan,天坛,beijing,皇城古迹,明清两代祭天之地，天圆地方建筑,10-35元,6:00-22:00,崇文区天坛内东里7号
bj_yiheyuan,颐和园,beijing,皇家园林,中国古典园林之首，万寿山昆明湖,20-60元,6:30-18:00,海淀区新建宫门路19号
bj_yuanmingyuan,圆明园,beijing,皇家园林,万园之园遗址，西洋楼残迹,10-25元,7:00-21:00,海淀区清华西路28号
bj_gulou,鼓楼钟楼,beijing,皇城古迹,元明清三代报时中心,20元,9:00-17:00,东城区钟楼湾临字9号
bj_tiananmen,天安门广场,beijing,皇城古迹,世界最大城市广场，观升旗仪式,15元,8:30-17:00,东城区东长安街
bj_mingshisanling,明十三陵,beijing,皇城古迹,明朝13位皇帝陵寝,25-65元,8:30-18:00,昌平区长岭镇
bj_badaling,八达岭长城,beijing,长城,明长城保存最好的一段，游客最多,40-45元,6:30-19:00,延庆县八达岭镇
bj_juyongguan,居庸关长城,beijing,长城,天下第一雄关，云台建筑精美,40-45元,8:00-17:00,昌平区南口镇
bj_mutianyu,慕田峪长城,beijing,长城,山势险峻，景观壮美,45元,8:00-17:00,怀柔区三渡河镇
bj_simatai,司马台长城,beijing,长城,唯一保留明代原貌长城，险峻闻名,40元,8:00-17:00,密云县古北口镇
bj_jinshanling,金山岭长城,beijing,长城,敌楼密集，摄影爱好者天堂,65元,6:00-18:00,承德滦平县
bj_kongmiao,孔庙国子监,beijing,老街故居,元明清三代国家最高学府,30元,8:30-18:00,东城区国子监街13号
bj_gongwangfu,恭王府,beijing,老街故居,和珅宅邸，北京保存最完整王府,40-70元,7:30-18:30,西城区前海西街17号
bj_nanluoguxiang,南锣鼓巷,beijing,胡同街区,北京最热闹时尚的胡同区，文艺青年聚集地,免费,全天,东城区南锣鼓巷
bj_houhai,什刹海(后海),beijing,胡同街区,老北京胡同汇集，京味儿酒吧区,免费,全天,西城区什刹海
bj_wangfujing,王府井,beijing,商业街区,品尝老字号和购物好去处,免费,全天,东城区王府井大街
bj_sanlitun,三里屯,beijing,酒吧街,著名酒吧一条街，夜生活中心,免费,全天,朝阳区三里屯路
bj_jingshanpark,景山公园,beijing,公园,北京城中轴线最高点，俯瞰故宫,2元,6:00-21:00,西城区景山西街44号
bj_zhongshanpark,中山公园,beijing,公园,明清社稷坛，郁金香花展,3-10元,6:00-21:00,东城区中华路4号
bj_beihaipark,北海公园,beijing,公园,皇家园林，白塔标志,5-20元,6:30-21:00,西城区文津街1号
bj_ditanpark,地坛公园,beijing,公园,明清祭地之坛，银杏大道,2-5元,6:00-21:00,东城区安定门外大街
bj_chaoyangpark,朝阳公园,beijing,公园,大型文化休憩公园,5元,6:00-22:00,朝阳区朝阳公园南路1号
bj_xiangshanpark,香山公园,beijing,公园,红叶如火，西山晴雪,5-10元,6:00-19:00,海淀区香山买卖街40号
bj_zhiwuyuan,北京植物园,beijing,公园,四时植物常开不败，樱桃沟,10-50元,6:00-20:00,海淀区香山南辛村20号
bj_yonghegong,雍和宫,beijing,古寺,北京规模最大喇嘛寺,25元,9:00-16:00,东城区雍和宫大街20号
bj_badachu,八大处,beijing,古寺,西山古刹群，佛牙舍利,10元,6:00-18:00,石景山区西山风景区
bj_jietaisi,戒台寺,beijing,古寺,戒台五松，辽代文物,45元,8:00-17:30,门头沟区潭柘寺镇
bj_tanzhesi,潭柘寺,beijing,古寺,先有潭柘寺后有北京城,55元,8:00-17:00,门头沟区潭柘寺镇
bj_dajuesi,大觉寺,beijing,古寺,玉兰花著名，清泉古树,20元,8:00-17:00,海淀区苏家坨镇
bj_hongluosi,红螺寺,beijing,古寺,求姻缘求子灵验,54元,8:00-17:30,怀柔区红螺东路2号
bj_niaochao,鸟巢(国家体育场),beijing,后奥运,2008奥运标志性建筑,50-80元,9:00-18:00,朝阳区国家体育场南路1号
bj_shuilifang,水立方(国家游泳中心),beijing,后奥运,奥运游泳馆，嬉水乐园,30-200元,8:00-20:00,朝阳区天辰东路11号
bj_aolinpike,奥林匹克森林公园,beijing,后奥运,亚洲最大城市绿化景观,免费,6:00-20:00,朝阳区奥运中心区北部
bj_dongwuyuan,北京动物园,beijing,亲子,国宝熊猫馆，陪伴北京人成长,10-20元,7:30-18:00,西城区西直门外大街137号
bj_haiyangguan,北京海洋馆,beijing,亲子,海洋动物表演，亲子好去处,120元,9:00-17:30,海淀区高粱桥斜街乙18号
bj_tianwenguan,北京天文馆,beijing,亲子,球幕电影，了解宇宙,10-45元,9:30-16:30,西城区西直门外大街138号
bj_guojiabowuguan,国家博物馆,beijing,博物馆,四羊方尊后母戊鼎镇馆,免费预约,9:00-17:00,东城区东长安街16号
bj_shoudubowuguan,首都博物馆,beijing,博物馆,北京历史文化展示,免费预约,9:00-17:00,西城区复兴门外大街16号
bj_junshi博物馆,军事博物馆,beijing,博物馆,军事装备历史展览,免费,8:30-17:30,海淀区复兴路9号
bj_zhongguomeishuguan,中国美术馆,beijing,博物馆,近现代美术作品展,免费预约,9:00-17:00,东城区五四大街1号
bj_dianyingbowuguan,中国电影博物馆,beijing,博物馆,中国电影发展历程,免费预约,9:00-16:30,朝阳区南影路9号
bj_qinghua,清华大学,beijing,学府,水木清华，最高学府,免费,全天,海淀区清华园1号
bj_beida,北京大学,beijing,学府,未名湖畔，百年燕园,免费,全天,海淀区颐和园路5号
bj_798,798艺术区,beijing,艺术区,工厂改造，艺术画廊聚集,免费,10:00-17:00,朝阳区酒仙桥路4号
bj_huanleggu,北京欢乐谷,beijing,游乐园,主题生态游乐园,230元,10:00-17:30,朝阳区东四环小武基北路
bj_shijieyuan,世界公园,beijing,游乐园,微缩世界景观,100元,8:00-17:00,丰台区花乡丰葆路158号
bj_shijingshanpark,石景山游乐园,beijing,游乐园,京城一代人的记忆,10元,9:00-17:30,石景山区石景山路25号
bj_kejiguan,中国科学技术馆,beijing,科普场所,互动科普体验,30元,9:30-17:00,朝阳区北辰东路5号
bj_guojiatushuguan,国家图书馆,beijing,文化设施,中国最大图书馆,免费,9:00-21:00,海淀区中关村南大33号
bj_zhongyangdianshita,中央电视塔,beijing,现代建筑,北京第一高塔，空中旋转餐厅,70元,8:30-21:30,海淀区西三环中路11号
bj_zhonghuaminzuyuan,中华民族园,beijing,民俗,56个民族传统建筑展示,90元,8:30-18:00,朝阳区民族园路1号
bj_luxunjiguan,鲁迅故居,beijing,名人故居,鲁迅博物馆,免费,9:00-16:00,西城区阜内大街宫门口二条19号
bj_laosheguju,老舍故居,beijing,名人故居,老舍纪念馆,免费,9:00-16:30,东城区灯市口西街丰富胡同19号
bj_meilanfangguju,梅兰芳纪念馆,beijing,名人故居,京剧大师故居,10元,9:00-16:30,西城区护国寺街9号
bj_songqinglingguju,宋庆龄故居,beijing,名人故居,醇亲王府花园,20元,9:00-18:00,西城区后海北沿46号
bj_qinglongxia,青龙峡,beijing,自然风光,消夏避暑胜地,54元,8:00-16:00,怀柔区怀北镇大水峪村北
bj_shidu,十渡,beijing,自然风光,喀斯特地貌，拒马河漂流,免费,8:00-17:00,房山区十渡镇
lhasa_budala,布达拉宫,lhasa,宫殿,世界最高最雄伟宫殿，西藏象征,100-200元,9:00-16:30,拉萨市城关区北京中路35号
lhasa_bakuo,八廓街,lhasa,历史街区,拉萨最著名转经道和商业中心,免费,全天,拉萨市城关区
lhasa_dazhao,大昭寺,lhasa,寺庙,西藏的眼睛，释迦摩尼十二岁等身像,35-85元,7:00-17:30,拉萨市城关区八廓街
lhasa_luobulinka,罗布林卡,lhasa,园林,拉萨颐和园，达赖喇嘛夏宫,80元,9:30-18:00,拉萨市城关区罗布林卡路21号
lhasa_zhebangsi,哲蚌寺,lhasa,寺庙,藏传佛教格鲁派最大寺庙，规模宏大辩经,50元,9:00-16:00,拉萨市城关区北京西路276号
lhasa_selasi,色拉寺,lhasa,寺庙,藏区最著名辩经仪式,50元,7:00-17:00,拉萨市城关区色拉路1号
lhasa_gandansi,甘丹寺,lhasa,寺庙,格鲁派六大寺院之首，祖寺,40元,9:00-16:00,拉萨市达孜县旺波日山
lhasa_namucuo,纳木错,lhasa,湖泊,西藏最大湖泊，世界最高咸水湖,100-120元,全天,拉萨市当雄县
nyingchi_niyanghe,尼洋河,nyingchi,河流,工布人民的母亲河,免费,全天,林芝地区
nyingchi_basongcuo,巴松错,nyingchi,湖泊,红教圣湖，高峡深谷中的翡翠,120元,7:00-18:00,林芝地区工布江达县
nyingchi_lulanglinhai,鲁朗林海,nyingchi,自然风光,中国瑞士，云山雾海森林,免费,全天,林芝地区
nyingchi_nanjiabawa,南迦巴瓦峰,nyingchi,雪山,中国最美山峰，羞女峰,免费,全天,林芝地区
nyingchi_yaluzangbu,雅鲁藏布大峡谷,nyingchi,峡谷,世界第一大峡谷,290元,7:30-18:00,林芝地区
nyingchi_motuo,墨脱,nyingchi,秘境,中国最后通公路的县，徒步圣地,免费,全天,林芝地区
nyingchi_midui,米堆冰川,nyingchi,冰川,中国最美冰川之一,50元,6:00-18:00,林芝地区波密县
nyingchi_ranwuhu,然乌湖,nyingchi,湖泊,藏东第一大湖，静谧绝美,免费,全天,昌都地区八宿县
shigatse_zhashlunbu,扎什伦布寺,shigatse,寺庙,历代班禅驻锡地，后藏最大寺庙,100元,9:00-17:00,日喀则市
shigatse_baijusi,白居寺,shigatse,寺庙,西藏独一无二万佛塔,60元,9:00-18:00,江孜县
shigatse_jiangzi,江孜宗山遗址,shigatse,历史遗迹,抗英遗址，宗山炮台,40元,9:00-19:00,江孜县
shigatse_pala,帕拉庄园,shigatse,历史建筑,西藏保存最完整的贵族庄园,40元,9:00-18:00,江孜县
shigatse_keroula,卡若拉冰川,shigatse,冰川,电影红河谷取景地,50元,全天,江孜县与浪卡子县交界处
shigatse_sajia,萨迦寺,shigatse,寺庙,萨迦派主寺，第二敦煌,50元,9:00-18:00,萨迦县
shigatse_everest,珠穆朗玛峰,shigatse,雪山,世界第一高峰,180元,全天,日喀则地区
shigatse_zhangmu,樟木口岸,shigatse,口岸,中尼边境口岸,免费,全天,聂拉木县
ngari_gangrenboqi,冈仁波齐,ngari,神山,世界公认神山，多教圣地,免费,全天,阿里地区普兰县
ngari_mapangyongcuo,玛旁雍错,ngari,湖泊,世界中心圣湖,免费,全天,阿里地区普兰县
ngari_laangcuo,拉昂错,ngari,湖泊,鬼湖，与圣湖相邻,免费,全天,阿里地区普兰县
ngari_guge,古格王朝遗址,ngari,历史遗迹,神秘消失的古格王国,100元,8:00-19:00,阿里地区札达县
ngari_zhadatulin,扎达土林,ngari,地貌景观,世界罕见地质奇观,免费,全天,阿里地区札达县
ngari_bangongcuo,班公错,ngari,湖泊,中印边境湖泊，一湖两国,免费,全天,阿里地区日土县
shannan_yangzhuoyongcuo,羊卓雍错,shannan,湖泊,西藏三大圣湖之一,40元,全天,山南地区浪卡子县
shannan_sangyesi,桑耶寺,shannan,寺庙,西藏第一座寺庙,40元,9:00-16:00,山南地区扎囊县
shannan_yongbulakang,雍布拉康,shannan,宫殿,西藏第一座宫殿,60元,9:00-17:00,山南地区乃东县
shannan_zangwangmu,藏王墓,shannan,历史遗迹,吐蕃王朝历代赞普陵墓群,30元,9:00-18:00,山南地区琼结县
shannan_changzhusi,昌珠寺,shannan,寺庙,西藏第一座佛堂,35元,9:00-16:00,山南地区乃东县
shannan_lamuolacuo,拉姆拉错,shannan,湖泊,看前世今生的神湖,50元,全天,山南地区加查县
nagqu_dangreyongcuo,当惹雍错,nagqu,湖泊,西藏最古老雍仲本教圣湖,免费,全天,那曲地区尼玛县
nagqu_daguoxueshan,达果雪山,nagqu,雪山,苯教神山,免费,全天,那曲地区尼玛县
nagqu_puruogangri,普若岗日冰川,nagqu,冰川,世界第三大冰川,免费,全天,那曲地区双湖县
nagqu_kulou,比如骷髅墙,nagqu,人文景观,神秘天葬遗迹,免费,全天,那曲地区比如县
nagqu_shenzha,申扎自然保护区,nagqu,自然保护区,高原野生动物栖息地,免费,全天,那曲地区申扎县
nagqu_selingcuo,色林错,nagqu,湖泊,西藏第二大湖,免费,全天,那曲地区
nagqu_qiangtang,羌塘草原,nagqu,草原,世界上海拔最高面积最大的草原,免费,全天,那曲地区
chamdo_qiangbalin,强巴林寺,chamdo,寺庙,康区最大格鲁派寺庙,30元,9:00-17:00,昌都市
chamdo_laigu,来古冰川,chamdo,冰川,世界三大冰川之一,30元,全天,昌都地区八宿县
chamdo_chajie,查杰玛大殿,chamdo,寺庙,康区最大佛殿,20元,9:00-17:00,昌都地区类乌齐县
chamdo_butuohu,布托湖,chamdo,湖泊,高山草甸上的明珠,免费,全天,昌都地区丁青县
chamdo_duola,多拉神山,chamdo,神山,康区著名神山,免费,全天,昌都地区八宿县
chamdo_bangda,邦达草原,chamdo,草原,高寒草原，邦达机场所在地,免费,全天,昌都地区八宿县
chamdo_yanhua,八宿噶学岩画,chamdo,岩画,古代壁画遗迹,免费,全天,昌都地区八宿县
